date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2008-01-02,5385.1,43.75,62.62,53.63,54.83,6.71,8.27,6.88,2.285714,csi_300,沪深300,Legulegu via AkShare
2008-01-03,5422.03,44.13,62.83,54.36,53.23,6.75,8.39,6.95,2.266032,csi_300,沪深300,Legulegu via AkShare
2008-01-04,5483.65,44.57,63.51,54.67,53.76,6.82,8.5,7.11,2.243662,csi_300,CSI 300,Legulegu via AkShare
2008-01-07,5556.59,44.71,64.33,55.96,53.97,6.85,8.59,7.16,2.236636,csi_300,沪深300,Legulegu via AkShare
2008-01-08,5528.05,44.85,63.22,54.85,54.1,6.86,8.41,7.04,2.229654,csi_300,沪深300,Legulegu via AkShare
2008-01-09,5613.76,45.2,64.7,56.3,54.53,6.92,8.59,7.07,2.212389,csi_300,沪深300,Legulegu via AkShare
2008-01-10,5672.15,45.44,65.45,56.5,54.82,6.95,8.69,7.27,2.200704,csi_300,CSI 300,Legulegu via AkShare
2008-01-11,5699.15,45.71,66.16,56.81,55.15,6.99,8.66,7.31,2.187705,csi_300,沪深300,Legulegu via AkShare
2008-01-14,5731.76,45.8,67.05,57.87,55.25,7.0,8.74,7.39,2.183406,csi_300,沪深300,Legulegu via AkShare
2008-01-15,5696.45,45.28,67.06,58.24,54.64,6.92,8.74,7.34,2.208481,csi_300,沪深300,Legulegu via AkShare
2008-01-16,5505.72,43.87,65.44,56.36,52.94,6.71,8.53,7.05,2.279462,csi_300,CSI 300,Legulegu via AkShare
2008-01-17,5365.62,42.68,63.5,54.63,51.51,6.52,8.3,6.8,2.343018,csi_300,沪深300,Legulegu via AkShare
2008-01-18,5414.47,42.95,64.39,55.98,51.83,6.56,8.38,6.92,2.328289,csi_300,沪深300,Legulegu via AkShare
2008-01-21,5145.73,40.53,60.64,53.43,49.13,6.21,7.99,6.65,2.467308,csi_300,沪深300,Legulegu via AkShare
2008-01-22,4753.87,37.67,56.48,49.2,45.66,5.77,7.36,6.09,2.654632,csi_300,CSI 300,Legulegu via AkShare
2008-01-23,4975.11,38.77,58.31,51.47,47.0,5.94,7.73,6.41,2.579314,csi_300,沪深300,Legulegu via AkShare
2008-01-24,5027.21,38.74,59.5,51.87,46.99,5.94,7.89,6.57,2.581311,csi_300,沪深300,Legulegu via AkShare
2008-01-25,5077.43,39.14,59.73,52.61,47.47,5.99,7.9,6.59,2.554931,csi_300,沪深300,Legulegu via AkShare
2008-01-28,4731.88,36.29,56.39,49.4,44.02,5.55,7.3,6.12,2.75558,csi_300,沪深300,Legulegu via AkShare
2008-01-29,4762.08,36.51,56.99,49.3,44.28,5.59,7.36,6.16,2.738976,csi_300,CSI 300,Legulegu via AkShare
2008-01-30,4710.65,36.16,56.91,48.74,43.85,5.53,7.33,6.15,2.765487,csi_300,CSI 300,Legulegu via AkShare
2008-01-31,4620.4,35.92,55.19,47.08,43.59,5.5,7.12,5.87,2.783964,csi_300,CSI 300,Legulegu via AkShare
2008-02-01,4571.95,35.56,53.93,46.41,43.13,5.45,6.92,5.82,2.812148,csi_300,CSI 300,Legulegu via AkShare
2008-02-04,4950.12,38.47,57.19,50.66,46.65,5.89,7.47,6.25,2.599428,csi_300,CSI 300,Legulegu via AkShare
2008-02-05,4921.83,37.86,57.29,49.84,45.74,5.8,7.45,6.26,2.64131,csi_300,CSI 300,Legulegu via AkShare
2008-02-13,4816.08,36.89,56.18,49.69,44.57,5.65,7.31,6.19,2.710762,csi_300,CSI 300,Legulegu via AkShare
2008-02-14,4880.25,37.4,57.01,50.0,45.19,5.72,7.4,6.32,2.673797,csi_300,CSI 300,Legulegu via AkShare
2008-02-15,4813.31,36.91,56.34,49.51,44.58,5.64,7.31,6.28,2.709293,csi_300,CSI 300,Legulegu via AkShare
2008-02-18,4910.99,37.43,57.83,50.7,45.21,5.72,7.47,6.37,2.671654,csi_300,CSI 300,Legulegu via AkShare
2008-02-19,5020.75,38.25,59.38,52.22,46.17,5.85,7.58,6.49,2.614379,csi_300,CSI 300,Legulegu via AkShare
2008-02-20,4908.72,37.4,58.51,51.69,45.09,5.72,7.48,6.37,2.673797,csi_300,CSI 300,Legulegu via AkShare
2008-02-21,4876.03,36.97,58.6,51.73,44.57,5.65,7.49,6.35,2.704896,csi_300,CSI 300,Legulegu via AkShare
2008-02-22,4702.24,35.64,57.19,50.3,42.97,5.45,7.3,6.26,2.805836,csi_300,CSI 300,Legulegu via AkShare
2008-02-25,4519.78,34.14,54.95,48.05,41.13,5.22,7.02,6.11,2.929115,csi_300,沪深300,Legulegu via AkShare
2008-02-26,4515.53,34.42,54.63,46.86,41.49,5.28,6.95,6.03,2.905288,csi_300,沪深300,Legulegu via AkShare
2008-02-27,4639.77,35.22,56.04,48.72,42.45,5.4,7.14,6.15,2.839296,csi_300,沪深300,Legulegu via AkShare
2008-02-28,4622.06,34.87,55.94,48.81,41.78,5.35,7.13,6.11,2.867795,csi_300,沪深300,Legulegu via AkShare
2008-02-29,4674.55,35.24,56.56,49.39,42.2,5.41,7.2,6.14,2.837684,csi_300,沪深300,Legulegu via AkShare
2008-03-03,4790.74,35.87,58.31,50.53,43.0,5.51,7.4,6.24,2.787845,csi_300,沪深300,Legulegu via AkShare
2008-03-04,4671.15,34.91,57.35,49.79,41.72,5.36,7.27,6.2,2.864509,csi_300,沪深300,Legulegu via AkShare
2008-03-05,4628.72,34.49,57.21,49.24,41.21,5.3,7.22,6.11,2.899391,csi_300,沪深300,Legulegu via AkShare
2008-03-06,4685.03,35.07,57.64,49.2,41.85,5.39,7.28,6.21,2.85144,csi_300,沪深300,Legulegu via AkShare
2008-03-07,4621.69,34.6,56.51,48.1,41.26,5.32,7.17,6.11,2.890173,csi_300,沪深300,Legulegu via AkShare
2008-03-10,4431.59,33.25,54.96,46.03,39.55,5.11,6.88,5.81,3.007519,csi_300,沪深300,Legulegu via AkShare
2008-03-11,4441.18,33.32,55.11,45.87,39.63,5.13,6.9,5.86,3.0012,csi_300,沪深300,Legulegu via AkShare
2008-03-12,4309.65,32.57,54.34,44.57,38.73,5.01,6.7,5.6,3.07031,csi_300,沪深300,Legulegu via AkShare
2008-03-13,4198.96,31.81,52.61,43.04,37.72,4.89,6.48,5.33,3.143666,csi_300,沪深300,Legulegu via AkShare
2008-03-14,4157.87,31.72,52.02,42.46,37.61,4.88,6.41,5.28,3.152585,csi_300,沪深300,Legulegu via AkShare
2008-03-17,3965.28,30.55,49.48,39.9,35.71,4.71,6.0,4.92,3.273322,csi_300,沪深300,Legulegu via AkShare
2008-03-18,3763.95,29.31,45.66,37.5,34.09,4.52,5.59,4.68,3.411805,csi_300,沪深300,Legulegu via AkShare
2008-03-19,3888.86,29.89,47.25,37.9,34.4,4.62,5.77,4.84,3.345601,csi_300,沪深300,Legulegu via AkShare
2008-03-20,4001.83,29.98,47.64,38.88,33.9,4.65,5.92,5.04,3.335557,csi_300,沪深300,Legulegu via AkShare
2008-03-21,4037.83,29.93,49.48,39.36,33.68,4.64,5.98,5.05,3.341129,csi_300,沪深300,Legulegu via AkShare
2008-03-24,3857.09,28.48,47.65,37.42,32.03,4.41,5.77,4.88,3.511236,csi_300,沪深300,Legulegu via AkShare
2008-03-25,3905.77,28.53,47.14,37.96,32.06,4.42,5.83,4.93,3.505082,csi_300,沪深300,Legulegu via AkShare
2008-03-26,3914.37,27.86,46.78,38.21,29.13,4.37,5.81,4.91,3.589375,csi_300,沪深300,Legulegu via AkShare
2008-03-27,3748.92,26.37,45.15,35.91,27.47,4.14,5.54,4.64,3.792188,csi_300,沪深300,Legulegu via AkShare
2008-03-28,3918.16,27.68,45.7,36.92,28.67,4.36,5.68,4.8,3.612717,csi_300,沪深300,Legulegu via AkShare
2008-03-31,3790.53,26.89,44.21,34.93,27.84,4.25,5.51,4.64,3.718855,csi_300,沪深300,Legulegu via AkShare
2008-04-01,3582.86,25.83,41.66,32.64,26.73,4.08,5.13,4.26,3.871467,csi_300,沪深300,Legulegu via AkShare
2008-04-02,3547.98,26.12,40.17,31.34,27.03,4.13,4.96,4.09,3.828484,csi_300,沪深300,Legulegu via AkShare
2008-04-03,3650.7,26.94,41.08,32.14,27.85,4.25,5.08,4.16,3.711952,csi_300,沪深300,Legulegu via AkShare
2008-04-07,3845.82,28.48,43.59,34.5,28.93,4.42,5.39,4.45,3.511236,csi_300,沪深300,Legulegu via AkShare
2008-04-08,3891.06,28.54,44.81,35.34,28.92,4.43,5.49,4.53,3.503854,csi_300,沪深300,Legulegu via AkShare
2008-04-09,3688.13,27.02,42.2,33.51,27.27,4.19,5.2,4.3,3.700962,csi_300,沪深300,Legulegu via AkShare
2008-04-10,3754.72,27.35,42.98,34.13,27.51,4.25,5.31,4.38,3.656307,csi_300,沪深300,Legulegu via AkShare
2008-04-11,3783.73,27.47,43.46,34.18,27.62,4.27,5.36,4.49,3.640335,csi_300,沪深300,Legulegu via AkShare
2008-04-14,3536.33,25.91,40.56,31.98,26.04,4.03,5.03,4.16,3.859514,csi_300,沪深300,Legulegu via AkShare
2008-04-15,3583.3,26.29,41.48,32.82,26.35,4.08,5.13,4.26,3.803728,csi_300,沪深300,Legulegu via AkShare
2008-04-16,3494.02,25.85,41.25,31.81,25.91,4.01,5.01,4.11,3.868472,csi_300,沪深300,Legulegu via AkShare
2008-04-17,3386.63,25.31,39.81,30.76,25.37,3.93,4.85,3.95,3.951008,csi_300,沪深300,Legulegu via AkShare
2008-04-18,3272.5,24.28,38.72,28.56,24.3,3.77,4.65,3.74,4.118616,csi_300,沪深300,Legulegu via AkShare
2008-04-21,3267.55,24.36,37.75,28.62,24.3,3.8,4.55,3.73,4.10509,csi_300,沪深300,Legulegu via AkShare
2008-04-22,3296.28,24.58,37.0,28.67,24.45,3.84,4.5,3.73,4.068348,csi_300,沪深300,Legulegu via AkShare
2008-04-23,3453.73,24.86,37.65,29.46,25.48,4.0,4.69,3.92,4.022526,csi_300,沪深300,Legulegu via AkShare
2008-04-24,3774.5,27.13,39.6,31.82,27.82,4.37,5.11,4.3,3.685957,csi_300,沪深300,Legulegu via AkShare
2008-04-25,3803.07,26.72,40.99,32.22,27.5,4.33,5.16,4.34,3.742515,csi_300,沪深300,Legulegu via AkShare
2008-04-28,3729.15,26.57,39.87,31.53,26.76,4.22,5.08,4.23,3.763643,csi_300,沪深300,Legulegu via AkShare
