date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2018-01-02,6332.23,27.64,46.22,32.31,35.07,2.51,3.18,2.59,3.617945,csi_500,CSI 500,Legulegu via AkShare
2018-01-03,6388.25,27.89,46.15,32.69,35.38,2.53,3.21,2.63,3.585515,csi_500,中证500,Legulegu via AkShare
2018-01-04,6417.54,28.03,46.24,32.67,35.57,2.54,3.22,2.63,3.567606,csi_500,CSI 500,Legulegu via AkShare
2018-01-05,6417.25,28.03,46.2,32.47,35.58,2.54,3.22,2.64,3.567606,csi_500,CSI 500,Legulegu via AkShare
2018-01-08,6446.18,28.16,46.24,32.93,35.74,2.55,3.23,2.64,3.551136,csi_500,CSI 500,Legulegu via AkShare
2018-01-09,6445.75,28.16,46.16,33.04,35.74,2.55,3.23,2.64,3.551136,csi_500,CSI 500,Legulegu via AkShare
2018-01-10,6405.94,27.98,45.87,32.68,35.52,2.54,3.21,2.61,3.573981,csi_500,CSI 500,Legulegu via AkShare
2018-01-11,6425.94,28.05,46.12,32.61,35.6,2.54,3.22,2.65,3.565062,csi_500,CSI 500,Legulegu via AkShare
2018-01-12,6399.37,27.95,45.85,32.45,35.48,2.53,3.21,2.6,3.577818,csi_500,CSI 500,Legulegu via AkShare
2018-01-15,6253.38,27.35,45.17,31.52,34.72,2.48,3.13,2.58,3.656307,csi_500,CSI 500,Legulegu via AkShare
2018-01-16,6301.13,27.57,44.71,31.93,35.01,2.5,3.14,2.57,3.627131,csi_500,CSI 500,Legulegu via AkShare
2018-01-17,6267.46,27.42,45.13,31.59,34.83,2.49,3.13,2.56,3.646973,csi_500,CSI 500,Legulegu via AkShare
2018-01-18,6286.8,27.53,44.58,31.72,34.97,2.5,3.13,2.56,3.632401,csi_500,CSI 500,Legulegu via AkShare
2018-01-19,6272.38,27.46,45.06,31.63,34.87,2.49,3.12,2.58,3.641661,csi_500,CSI 500,Legulegu via AkShare
2018-01-22,6347.64,27.77,45.5,31.89,35.29,2.52,3.15,2.59,3.601008,csi_500,CSI 500,Legulegu via AkShare
2018-01-23,6355.0,27.82,45.5,31.99,35.35,2.52,3.15,2.6,3.594536,csi_500,CSI 500,Legulegu via AkShare
2018-01-24,6394.3,27.97,45.89,32.28,35.53,2.54,3.17,2.61,3.575259,csi_500,CSI 500,Legulegu via AkShare
2018-01-25,6382.72,27.91,45.81,31.98,35.46,2.53,3.17,2.61,3.582945,csi_500,CSI 500,Legulegu via AkShare
2018-01-26,6383.63,27.96,45.86,32.52,35.49,2.53,3.16,2.61,3.576538,csi_500,CSI 500,Legulegu via AkShare
2018-01-29,6309.88,27.64,45.79,31.98,35.08,2.5,3.12,2.55,3.617945,csi_500,CSI 500,Legulegu via AkShare
2018-01-30,6313.44,27.64,45.77,31.76,35.08,2.5,3.12,2.56,3.617945,csi_500,CSI 500,Legulegu via AkShare
2018-01-31,6189.34,27.15,44.67,31.31,34.45,2.45,3.05,2.53,3.683241,csi_500,CSI 500,Legulegu via AkShare
2018-02-01,5984.74,26.27,43.13,30.37,33.33,2.37,2.95,2.42,3.806624,csi_500,CSI 500,Legulegu via AkShare
2018-02-02,6004.85,26.39,43.12,30.54,33.49,2.38,2.95,2.44,3.789314,csi_500,CSI 500,Legulegu via AkShare
2018-02-05,5998.22,26.38,42.99,30.52,33.48,2.38,2.94,2.43,3.790751,csi_500,CSI 500,Legulegu via AkShare
2018-02-06,5704.26,25.08,41.26,29.13,31.83,2.26,2.8,2.3,3.987241,csi_500,CSI 500,Legulegu via AkShare
2018-02-07,5711.33,25.09,41.51,28.86,31.85,2.26,2.81,2.3,3.985652,csi_500,CSI 500,Legulegu via AkShare
2018-02-08,5766.48,25.41,42.03,29.29,32.26,2.28,2.84,2.33,3.935458,csi_500,CSI 500,Legulegu via AkShare
2018-02-09,5554.9,24.43,40.63,28.3,31.02,2.2,2.74,2.22,4.093328,csi_500,CSI 500,Legulegu via AkShare
2018-02-12,5699.1,25.05,41.55,29.28,31.72,2.25,2.82,2.27,3.992016,csi_500,CSI 500,Legulegu via AkShare
2018-02-13,5736.95,24.98,41.72,29.26,31.07,2.27,2.83,2.29,4.003203,csi_500,CSI 500,Legulegu via AkShare
2018-02-14,5754.83,25.08,41.53,29.17,31.17,2.27,2.84,2.3,3.987241,csi_500,CSI 500,Legulegu via AkShare
2018-02-22,5875.73,25.63,42.64,30.06,31.82,2.32,2.9,2.35,3.901678,csi_500,CSI 500,Legulegu via AkShare
2018-02-23,5897.68,25.73,42.72,30.0,31.94,2.33,2.9,2.35,3.886514,csi_500,CSI 500,Legulegu via AkShare
2018-02-26,6029.68,26.28,43.49,30.62,32.63,2.38,2.97,2.4,3.805175,csi_500,CSI 500,Legulegu via AkShare
2018-02-27,6010.56,26.22,43.34,30.51,32.56,2.37,2.96,2.39,3.813883,csi_500,CSI 500,Legulegu via AkShare
2018-02-28,6023.68,26.05,43.76,31.03,32.6,2.36,2.95,2.38,3.838772,csi_500,CSI 500,Legulegu via AkShare
2018-03-01,6090.22,26.33,44.41,31.36,32.91,2.38,2.99,2.42,3.797949,csi_500,CSI 500,Legulegu via AkShare
2018-03-02,6056.34,26.17,44.38,31.04,32.71,2.37,2.98,2.43,3.821169,csi_500,CSI 500,Legulegu via AkShare
2018-03-05,6064.1,26.18,44.51,31.74,32.76,2.37,2.99,2.43,3.81971,csi_500,CSI 500,Legulegu via AkShare
2018-03-06,6145.58,26.46,44.96,31.54,33.08,2.4,3.02,2.46,3.779289,csi_500,CSI 500,Legulegu via AkShare
2018-03-07,6086.49,26.21,44.05,31.55,32.76,2.38,3.0,2.43,3.815338,csi_500,CSI 500,Legulegu via AkShare
2018-03-08,6131.51,26.42,44.34,31.89,33.01,2.4,3.01,2.46,3.785011,csi_500,CSI 500,Legulegu via AkShare
2018-03-09,6206.98,26.75,44.96,32.25,33.35,2.43,3.05,2.48,3.738318,csi_500,CSI 500,Legulegu via AkShare
2018-03-12,6295.78,27.11,45.65,32.87,33.67,2.46,3.09,2.51,3.688676,csi_500,CSI 500,Legulegu via AkShare
2018-03-13,6254.15,26.9,45.33,32.72,33.27,2.44,3.07,2.5,3.717472,csi_500,CSI 500,Legulegu via AkShare
2018-03-14,6189.32,26.63,45.29,32.48,32.95,2.42,3.04,2.5,3.755163,csi_500,CSI 500,Legulegu via AkShare
2018-03-15,6180.11,26.59,45.18,32.24,32.81,2.41,3.03,2.46,3.760812,csi_500,CSI 500,Legulegu via AkShare
2018-03-16,6146.31,26.39,45.01,31.77,32.39,2.4,3.01,2.45,3.789314,csi_500,CSI 500,Legulegu via AkShare
2018-03-19,6153.83,26.4,45.76,31.84,32.11,2.4,3.02,2.46,3.787879,csi_500,CSI 500,Legulegu via AkShare
2018-03-20,6173.7,26.4,45.81,31.66,32.0,2.4,3.03,2.45,3.787879,csi_500,CSI 500,Legulegu via AkShare
2018-03-21,6129.2,26.14,44.54,31.78,31.51,2.39,3.0,2.46,3.825555,csi_500,CSI 500,Legulegu via AkShare
2018-03-22,6101.23,26.02,44.47,31.75,31.36,2.37,2.99,2.45,3.843198,csi_500,CSI 500,Legulegu via AkShare
2018-03-23,5787.15,24.73,42.46,30.39,29.64,2.25,2.83,2.32,4.043672,csi_500,CSI 500,Legulegu via AkShare
2018-03-26,5902.96,25.21,43.89,30.66,29.59,2.29,2.89,2.35,3.96668,csi_500,CSI 500,Legulegu via AkShare
2018-03-27,6034.78,25.81,44.43,31.32,30.1,2.34,2.96,2.4,3.874467,csi_500,CSI 500,Legulegu via AkShare
2018-03-28,5973.34,25.39,43.49,30.65,29.27,2.31,2.93,2.38,3.938558,csi_500,CSI 500,Legulegu via AkShare
2018-03-29,6034.86,25.61,43.87,30.97,29.7,2.34,2.95,2.39,3.904725,csi_500,CSI 500,Legulegu via AkShare
2018-03-30,6114.74,25.97,44.3,31.66,29.88,2.36,2.99,2.43,3.850597,csi_500,CSI 500,Legulegu via AkShare
2018-04-02,6121.96,26.01,44.48,31.4,29.53,2.36,3.0,2.43,3.844675,csi_500,中证500,Legulegu via AkShare
2018-04-03,6059.71,25.77,43.86,31.59,29.0,2.34,2.97,2.41,3.880481,csi_500,CSI 500,Legulegu via AkShare
2018-04-04,6017.69,25.51,43.42,31.34,28.66,2.32,2.95,2.4,3.920031,csi_500,中证500,Legulegu via AkShare
2018-04-09,6025.65,25.54,43.6,31.41,28.69,2.32,2.96,2.38,3.915427,csi_500,CSI 500,Legulegu via AkShare
2018-04-10,6063.74,25.8,43.68,31.62,28.84,2.34,2.97,2.39,3.875969,csi_500,CSI 500,Legulegu via AkShare
2018-04-11,6086.61,25.88,43.78,31.67,28.77,2.35,2.98,2.44,3.863988,csi_500,CSI 500,Legulegu via AkShare
2018-04-12,6051.33,25.68,43.5,31.65,28.28,2.34,2.96,2.42,3.894081,csi_500,CSI 500,Legulegu via AkShare
2018-04-13,6027.19,25.62,43.47,31.54,28.26,2.32,2.94,2.4,3.903201,csi_500,CSI 500,Legulegu via AkShare
2018-04-16,6012.41,25.46,44.02,31.24,28.06,2.32,2.94,2.4,3.92773,csi_500,CSI 500,Legulegu via AkShare
2018-04-17,5890.86,24.84,43.22,30.41,27.14,2.26,2.88,2.32,4.025765,csi_500,CSI 500,Legulegu via AkShare
2018-04-18,5970.66,25.07,43.3,30.83,27.41,2.29,2.91,2.36,3.988831,csi_500,CSI 500,Legulegu via AkShare
2018-04-19,6004.73,25.18,42.97,30.63,27.56,2.3,2.93,2.35,3.971406,csi_500,CSI 500,Legulegu via AkShare
2018-04-20,5880.84,24.47,42.57,29.7,26.7,2.25,2.87,2.31,4.086637,csi_500,CSI 500,Legulegu via AkShare
2018-04-23,5823.92,24.22,42.47,29.41,26.24,2.23,2.83,2.29,4.128819,csi_500,CSI 500,Legulegu via AkShare
2018-04-24,5957.19,24.69,43.07,30.01,26.75,2.28,2.89,2.34,4.050223,csi_500,CSI 500,Legulegu via AkShare
