date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2015-01-05,5417.02,31.82,53.33,36.86,35.09,2.92,3.84,3.04,3.142678,csi_500,CSI 500,Legulegu via AkShare
2015-01-06,5479.86,32.16,53.49,37.45,35.46,2.95,3.89,3.08,3.109453,csi_500,CSI 500,Legulegu via AkShare
2015-01-07,5488.24,32.21,54.17,37.09,35.52,2.96,3.9,3.08,3.104626,csi_500,CSI 500,Legulegu via AkShare
2015-01-08,5444.04,32.02,54.28,36.85,35.3,2.93,3.88,3.07,3.123048,csi_500,CSI 500,Legulegu via AkShare
2015-01-09,5409.06,31.82,53.9,36.73,35.09,2.91,3.86,3.04,3.142678,csi_500,中证500,Legulegu via AkShare
2015-01-12,5332.22,31.37,53.6,36.32,34.59,2.87,3.83,2.98,3.187759,csi_500,CSI 500,Legulegu via AkShare
2015-01-13,5405.09,31.8,54.98,36.82,35.05,2.91,3.89,3.02,3.144654,csi_500,CSI 500,Legulegu via AkShare
2015-01-14,5379.74,31.64,54.7,36.99,34.87,2.89,3.87,3.01,3.160556,csi_500,CSI 500,Legulegu via AkShare
2015-01-15,5449.04,32.07,54.7,37.56,35.32,2.92,3.9,3.07,3.118179,csi_500,中证500,Legulegu via AkShare
2015-01-16,5520.12,32.51,54.96,37.99,35.79,2.96,3.97,3.07,3.075977,csi_500,CSI 500,Legulegu via AkShare
2015-01-19,5281.9,31.2,53.84,36.3,34.32,2.83,3.83,2.94,3.205128,csi_500,CSI 500,Legulegu via AkShare
2015-01-20,5472.51,32.31,55.78,37.72,35.55,2.94,3.98,3.06,3.095017,csi_500,CSI 500,Legulegu via AkShare
2015-01-21,5611.69,33.14,56.54,38.77,36.48,3.01,4.06,3.13,3.017502,csi_500,CSI 500,Legulegu via AkShare
2015-01-22,5690.16,33.55,56.25,39.32,36.99,3.05,4.12,3.17,2.980626,csi_500,CSI 500,Legulegu via AkShare
2015-01-23,5633.29,33.18,56.72,38.94,36.64,3.02,4.08,3.16,3.013864,csi_500,CSI 500,Legulegu via AkShare
2015-01-26,5758.98,33.93,56.78,39.69,37.45,3.09,4.16,3.22,2.947244,csi_500,中证500,Legulegu via AkShare
2015-01-27,5773.82,34.1,55.97,39.84,37.58,3.1,4.14,3.24,2.932551,csi_500,中证500,Legulegu via AkShare
2015-01-28,5739.92,33.88,55.67,40.04,37.39,3.08,4.12,3.23,2.951594,csi_500,中证500,Legulegu via AkShare
2015-01-29,5701.21,33.66,56.13,39.64,37.13,3.06,4.09,3.19,2.970885,csi_500,CSI 500,Legulegu via AkShare
2015-01-30,5632.73,33.3,56.02,39.43,36.74,3.03,4.04,3.18,3.003003,csi_500,CSI 500,Legulegu via AkShare
2015-02-02,5609.39,33.17,55.72,39.12,36.61,3.01,4.03,3.17,3.014772,csi_500,中证500,Legulegu via AkShare
2015-02-03,5707.48,33.78,56.76,39.86,37.22,3.06,4.1,3.23,2.960332,csi_500,CSI 500,Legulegu via AkShare
2015-02-04,5683.52,33.66,56.08,39.45,37.1,3.05,4.08,3.23,2.970885,csi_500,CSI 500,Legulegu via AkShare
2015-02-05,5654.22,33.52,55.83,39.31,36.91,3.03,4.07,3.2,2.983294,csi_500,CSI 500,Legulegu via AkShare
2015-02-06,5534.79,32.83,55.27,38.32,36.05,2.97,3.99,3.13,3.045995,csi_500,CSI 500,Legulegu via AkShare
2015-02-09,5504.97,32.65,54.9,38.39,35.86,2.95,3.96,3.12,3.062787,csi_500,CSI 500,Legulegu via AkShare
2015-02-10,5580.7,33.11,55.59,38.88,36.18,2.99,4.0,3.17,3.020236,csi_500,CSI 500,Legulegu via AkShare
2015-02-11,5641.79,33.52,55.26,39.56,36.57,3.02,4.05,3.18,2.983294,csi_500,CSI 500,Legulegu via AkShare
2015-02-12,5681.34,33.77,56.86,40.09,36.83,3.04,4.08,3.2,2.961208,csi_500,中证500,Legulegu via AkShare
2015-02-13,5769.27,34.24,56.49,40.26,37.41,3.09,4.14,3.25,2.920561,csi_500,中证500,Legulegu via AkShare
2015-02-16,5869.71,34.84,57.31,41.48,38.0,3.14,4.22,3.31,2.870264,csi_500,中证500,Legulegu via AkShare
